ATC;Kód;GP;Názov;Doplnok;Konečná c.;ŠDL;JD
V01AA03;8173D;;ACTAIR 100 IR sublingválne tablety, ACTAIR 300 IR sublingválne tablety;tbl slg 3x100 IR+28x300 IR (blis.OPA/Al/PVC/Al);80,2;1;DF
V01AA03;8174D;;ACTAIR 300 IR sublingválne tablety;tbl slg 30x300 IR (blis.OPA/Al/PVC/Al);81,04;1;DF
V01AA03;8175D;;ACTAIR 300 IR sublingválne tablety;tbl slg 90x300 IR (blis.OPA/Al/PVC/Al);242,18;1;DF
C09DA07;4634A;;Actelsar HCT 80 mg/12,5 mg tablety;tbl 28x80 mg/12,5 mg (blis.Al/Al);4,34;1;DF
C09DA07;4637A;;Actelsar HCT 80 mg/12,5 mg tablety;tbl 90x80 mg/12,5 mg (blis.Al/Al);13,94;1;DF
C09DA07;4648A;;Actelsar HCT 80 mg/25 mg tablety;tbl 28x80 mg/25 mg (blis.Al/Al);5,87;1;DF
G03FA01;46645;;Activelle;tbl flm 1x28 (dávkovač kalendár.PP);7,61;1;DF
A10AB01;41355;;Actrapid Penfill 100 IU/ ml;sol inj 10x3 ml/300 IU (3,5 mg/ ml) (skl.náplň);52,35;40;UT
G04CB02;4674C;X;ADADUT 0,5 mg mäkké kapsuly;cps mol 30x0,5 mg (blis.PVC/PE/PVDC/Al);14,03;0,5;mg
G04CB02;4677C;X;ADADUT 0,5 mg mäkké kapsuly;cps mol 90x0,5 mg (blis.PVC/PE/PVDC/Al);36,45;0,5;mg
N02AX02;99554;X;Adamon SR 100 mg, tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 30x100 mg (blis.PVC/PVDC/Al);8,59;0,3;g
N02AX02;99503;X;Adamon SR 50 mg, tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 30x50 mg (blis.PVC/PVDC/Al);4,8;0,3;g
N04BC04;35021;X;ADARTREL 0,25 mg;tbl flm 12x0,25 mg (blis.PVC/PE/PVDC/Al/papier);2,23;6;mg
N04BC04;35023;X;ADARTREL 0,50 mg;tbl flm 84x0,50 mg (blis.PVC/PE/PVDC/Al/papier);13,74;6;mg
G04CA52;2566D;;ADATAM 0,5 mg/0,4 mg;cps dur 90x0,5 mg/0,4 mg (fľ.HDPE);38,04;1;DF
M01AH01;9322C;X;ADAXIB 100 mg;cps dur 30x100 mg (blis.PVC/PVDC/Al);7,5;0,2;g
M01AH01;9328C;X;ADAXIB 200 mg;cps dur 100x200 mg (blis.PVC/PVDC/Al);24,65;0,2;g
M01AH01;9326C;X;ADAXIB 200 mg;cps dur 30x200 mg (blis.PVC/PVDC/Al);8,15;0,2;g
L01XC12;3265A;;ADCETRIS 50 mg prášok na koncentrát na infúzny roztok;plc ifc 1x50 mg (liek. inj.skl.);3100,58;1,8;mg/kg
C02KX05;9750A;X;Adempas 1 mg filmom obalené tablety;tbl flm 42x1 mg (blis.PP/Al);1015,03;3;DF
C02KX05;9753A;X;Adempas 1,5 mg filmom obalené tablety;tbl flm 42x1,5 mg (blis.PP/Al);1015,03;3;DF
C02KX05;9756A;X;Adempas 2 mg filmom obalené tablety;tbl flm 42x2 mg (blis.PP/Al);1015,03;3;DF
C02KX05;9759A;X;Adempas 2,5 mg filmom obalené tablety;tbl flm 42x2,5 mg (blis.PP/Al);1015,03;3;DF
C02KX05;9760A;X;Adempas 2,5 mg filmom obalené tablety;tbl flm 84x2,5 mg (blis.PP/Al);2030,06;3;DF
M04AA03;9817B;X;Adenuric 80 mg filmom obalené tablety;tbl flm 28x80 mg (blis.PVC/PE/PVDC/Al);17,97;1;DF
N07BB04;20342;X;Adepend 50 mg filmom obalené tablety;tbl flm 28x50 mg (blis.PVC/PVDC/Al);46,72;50;mg
C10AX09;3964C;X;Adezop 10 mg;tbl 28x10 mg (blis.OPA/Al/PVC/Al);12,7;10;mg
C10AX09;3968C;X;Adezop 10 mg;tbl 84x10 mg (blis.OPA/Al/PVC/Al);38,1;10;mg
N02AA55;3516C;;Adolax 10 mg/5 mg;tbl plg 60x1x10 mg/5 mg (blis.PVC/PVDC/PET/Al-jednotliv.bal.);22,2;2;DF
N02AA55;3538C;;Adolax 20 mg/10 mg;tbl plg 60x1x20 mg/10 mg (blis.PVC/PVDC/PET/Al-jednotliv.bal.);39,95;2;DF
N02AA55;3560C;;Adolax 40 mg/20 mg;tbl plg 60x1x40 mg/20 mg (blis.PVC/PVDC/PET/Al-jednotliv.bal.);74,13;2;DF
C01CA24;5363C;;Adrenalin Bradex 1 mg/ml injekčný roztok;sol inj 10x1 ml (amp.skl.jantárová);9,27;0,5;mg
C01CA24;5364C;;Adrenalin Bradex 1 mg/ml injekčný roztok;sol inj 25x1 ml (amp.skl.jantárová);20,32;0,5;mg
C01CA24;362;;Adrenalin Léčiva;sol inj 5x1 ml/1 mg (amp.skl.);4,64;0,5;mg
L04AD02;39629;;Advagraf 0,5 mg tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 30x0,5 mg (blis.PVC/PVDC/Al);15,96;5;mg
L04AD02;39633;;Advagraf 1 mg tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 60x1 mg (blis.PVC/PVDC/Al);74;5;mg
L04AD02;76887;;Advagraf 3 mg tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 30x3 mg (blis.PVC/PVDC/Al);86,92;5;mg
L04AD02;39635;;Advagraf 5 mg tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 30x5 mg (blis.PVC/PVDC/Al);145,91;5;mg
D07AC14;72176;;Advantan krém;crm der 1x15 g (tuba Al);3,01;1;g
B02BD02;32332;;ADVATE 1000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1000 IU+1x2 ml solv. (liek.inj.skl.+liek.inj.skl.+ pom.na rekonšt.);643;500;UT
B02BD02;8650B;;ADVATE 1000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1000 IU+1x2 ml solv. (liek.inj.skl.+liek.inj.skl.+ zabud. v pom.na rekonšt.);650,84;500;UT
B02BD02;40833;;ADVATE 1000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1000 IU+1x5 ml solv. (liek.inj.skl.+liek.inj.skl.+ pom.na rekonšt.);643;500;UT
B02BD02;32333;;ADVATE 1500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1500 IU+1x2 ml solv. (liek.inj.skl.+liek.inj.skl.+ pom.na rekonšt.);962,57;500;UT
B02BD02;8651B;;ADVATE 1500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1500 IU+1x2 ml solv. (liek.inj.skl.+liek.inj.skl.+ zabud. v pom.na rekonšt.);974,33;500;UT
B02BD02;8646B;;ADVATE 2000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x2000 IU+1x5 ml solv. (liek.inj.skl.+liek.inj.skl.+ zabud. v pom.na rekonšt.);1281,88;500;UT
B02BD02;32330;;ADVATE 250 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x250 IU+1x2 ml solv. (liek.inj.skl.+liek.inj.skl.+ pom.na rekonšt.);164,54;500;UT
B02BD02;8648B;;ADVATE 250 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x250 IU+1x2 ml solv. (liek.inj.skl.+liek.inj.skl.+ zabud. v pom.na rekonšt.);166,52;500;UT
B02BD02;40831;;ADVATE 250 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x250 IU+1x5 ml solv. (liek.inj.skl.+liek.inj.skl.+ pom.na rekonšt.);163,23;500;UT
B02BD02;8647B;;ADVATE 3000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x3000 IU+1x5 ml solv. (liek.inj.skl.+liek.inj.skl.+ zabud. v pom.na rekonšt.);1917,64;500;UT
B02BD02;32331;;ADVATE 500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x500 IU+1x2 ml solv. (liek.inj.skl.+liek.inj.skl.+ pom.na rekonšt.);324,54;500;UT
B02BD02;8649B;;ADVATE 500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x500 IU+1x2 ml solv. (liek.inj.skl.+liek.inj.skl.+ zabud. v pom.na rekonšt.);328,47;500;UT
B02BD02;40832;;ADVATE 500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x500 IU+1x5 ml solv. (liek.inj.skl.+liek.inj.skl.+ pom.na rekonšt.);324,18;500;UT
B02BD02;6993C;;ADYNOVI 1 000 IU/2 ml prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1 000 IU + 1xsolv.2 ml (liek.inj.skl.+spojené s pomôckou na rekonšt.);665,79;500;UT
B02BD02;6997C;;ADYNOVI 2 000 IU/5 ml prášok a rozpúšťadlo na injekčný roztok;plv iol 1x2 000 IU + 1xsolv.5 ml (liek.inj.skl.+spojené s pomôckou na rekonšt.);1322,31;500;UT
B02BD02;6989C;;ADYNOVI 500 IU/2 ml prášok a rozpúšťadlo na injekčný roztok;plv iol 1x500 IU + 1xsolv.2 ml (liek.inj.skl.+spojené s pomôckou na rekonšt.);335,98;500;UT
R06AX27;39741;X;Aerius 0,5 mg/ml perorálny roztok;sol por 1x150 ml/75 mg (fľa.skl.+plast.lyžica);3,22;5;mg
R06AX27;39738;X;Aerius 0,5 mg/ml perorálny roztok;sol por 1x60 ml/30 mg (fľa.skl.+plast.lyžica);2,75;5;mg
R06AX27;13749;X;Aerius 5 mg filmom obalené tablety;tbl flm 100x5 mg (blis.PCTFE/PVC/Al);13,13;5;mg
R06AX27;13745;X;Aerius 5 mg filmom obalené tablety;tbl flm 10x5 mg (blis.PCTFE/PVC/Al);1,36;5;mg
R06AX27;13747;X;Aerius 5 mg filmom obalené tablety;tbl flm 30x5 mg (blis.PCTFE/PVC/Al);4,16;5;mg
R06AX27;32134;X;Aerius 5 mg filmom obalené tablety;tbl flm 50x5 mg (blis.PCTFE/PVC/Al);6,78;5;mg
R06AX27;37075;X;Aerius 5 mg filmom obalené tablety;tbl flm 90x5 mg (blis.PCTFE/PVC/Al);12,4;5;mg
L01EG02;79398;X;Afinitor 10 mg tablety;tbl 30x10 mg (blis. Al/PA/Al/PVC);1601,35;10;mg
L01EG02;79395;X;Afinitor 5 mg tablety;tbl 30x5 mg (blis. Al/PA/Al/PVC);1215,19;10;mg
M01AB16;98368;X;Aflamil 100 mg filmom obalené tablety;tbl flm 30x100 mg (blis.PAD/Al/PVC/Al);5,09;200;mg
M01AB16;40340;X;Aflamil 100 mg filmom obalené tablety;tbl flm 60x100 mg (blis.PAD/Al/PVC/Al);11,73;200;mg
D07AB10;58308;;AFLODERM;crm der 1x20 g (tuba Al);4,43;1;g
D07AB10;58306;;AFLODERM;ung der 1x20 g (tuba Al);4,43;1;g
N05AB02;3514;;AFLUDITEN 25 mg/ml;sol inj 5x1 ml/25 mg (amp.skl.hnedá);15,96;1;mg
R03DA04;25255;X;AFONILUM SR 125;cps plg 50x125 mg (blis.PVC/Al);3,33;0,4;g
R03DA04;76650;X;AFONILUM SR 250;cps plg 50x250 mg (blis.PVC/Al);4,58;0,4;g
B02BD02;3676C;;AFSTYLA 1000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1000 IU+2,5 ml solv. (liek.inj.skl.);515,21;500;UT
B02BD02;3678C;;AFSTYLA 2000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x2000 IU+5 ml solv. (liek.inj.skl.);1038,32;500;UT
B02BD02;3674C;;AFSTYLA 250 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x250 IU+2,5 ml solv. (liek.inj.skl.);141,9;500;UT
B02BD02;3680C;;AFSTYLA 3000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x3000 IU+5 ml solv. (liek.inj.skl.);1402,06;500;UT
B02BD02;3675C;;AFSTYLA 500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x500 IU+2,5 ml solv. (liek.inj.skl.);260,33;500;UT
C08CA01;13558;X;Agen 10;tbl 30x10 mg (blis. PVC/PVDC/Al);2,07;5;mg
C08CA01;36444;X;Agen 10;tbl 90x10 mg (blis. PVC/PVDC/Al);7,82;5;mg
C08CA01;13556;X;Agen 5;tbl 30x5 mg (blis. PVC/PVDC/Al);0,78;5;mg
C08CA01;36443;X;Agen 5;tbl 90x5 mg (blis. PVC/PVDC/Al);5,31;5;mg
G04CA52;2753D;;Aglandin 0,5 mg/0,4 mg tvrdé kapsuly;cps dur 90x0,5 mg/0,4 mg (fľ.HDPE);38,04;1;DF
A10BH02;7071C;X;AGNIS 50 mg tablety;tbl 180x50 mg (blis.OPA/Al/PVC/Al);37,2;100;mg
A10BH02;7070C;X;AGNIS 50 mg tablety;tbl 60x50 mg (blis.OPA/Al/PVC/Al);13,93;100;mg
G03DA04;2094;;AGOLUTIN;sol inj 5x2 ml/60 mg (amp.skl.);2,77;5;mg
N06AX22;9579C;X;Agomelatín Stada;tbl flm 28x25 mg (blis.OPA/Al/PVC/Al);8,66;25;mg
N06AX22;9583C;X;Agomelatín Stada;tbl flm 98x25 mg (blis.OPA/Al/PVC/Al);30,31;25;mg
N06AX22;8543C;X;Agomelatín Teva;tbl flm 28x25 mg (blis.OPA/Al/PE/vysušovadlo/Al/PE);8,66;25;mg
N06AX22;8545C;X;Agomelatín Teva;tbl flm 84x25 mg (blis.OPA/Al/PE/vysušovadlo/Al/PE);25,98;25;mg
N06AX22;9501C;X;Agomelatine G.L. Pharma;tbl flm 30x25 mg (blis.OPA/Al/PVC/Al);16,16;25;mg
N06AX22;9746C;X;Agomelatine Glenmark 25 mg;tbl flm 28x25 mg (blis.OPA/Al/PVC/Al);12,89;25;mg
N06AX22;9711C;X;Agomelatine Mylan 25 mg;tbl flm 28x25 mg (blis.OPA/Al/PVC/Al);8,66;25;mg
N02CX07;1557D;;Aimovig 140 mg injekčný roztok v naplnenom pere;sol inj 1x1 ml/140 mg (striek.inj.skl.v napl.pere);424,69;2,5;mg
R03AK06;1543B;;Airflusal Forspiro 50 mikrogramov/250 mikrogramov;plv ido 1x60 dávok+1x inhalátor (blis.OPA/Al/PVC/Al+inhalátor);16,22;2;DF
R03AK06;1548B;;Airflusal Forspiro 50 mikrogramov/500 mikrogramov;plv ido 1x60 dávok+1x inhalátor (blis.OPA/Al/PVC/Al+inhalátor);20,44;2;DF
N02CD03;1179D;;AJOVY 225 mg injekčný roztok naplnený v injekčnej striekačke;sol inj 1x1,5 ml/225 mg (striek.inj.napl.skl.);408,62;7,5;mg
N02CD03;3332D;;AJOVY 225 mg injekčný roztok naplnený v injekčnom pere;sol inj 1x1,5 ml/225 mg (pero inj.napl.);418,28;7,5;mg
N04AA02;15515;;Akineton;sol inj 5x1 ml/5 mg;5,47;10;mg
N04AA02;20054;X;Akineton;tbl 50x2 mg (blis.PVC/Al);2,52;10;mg
S01EE01;5256A;;Akistan  50 mikrogramov/ml očná roztoková instilácia;int opo 1x2,5 ml (fľ.PE s kvapkadlom);6,97;0,1;ml
S01EE01;1589B;;Akistan  50 mikrogramov/ml očná roztoková instilácia;int opo 3x2,5 ml (fľ.PE s kvapkadlom);13,46;0,1;ml
D10AF02;97513;;Aknemycin 2000;ung der 1x25 g (tuba Al);3,88;1;g
D10AF52;33163;;Aknemycin Plus;sol der 1x25 ml (fľ.skl.hnedá);8,09;1;ml
D10BA01;90429;X;Aknenormin 10;cps mol 30x10 mg (blis.PVC/PVDC/Al);14,09;30;mg
D10BA01;90432;X;Aknenormin 20;cps mol 30x20 mg (blis.PVC/PVDC/Al);19,78;30;mg
D10BA01;90433;X;Aknenormin 20;cps mol 60x20 mg (blis.PVC/PVDC/Al);35,78;30;mg
N05AL05;4778B;X;AKTIPROL 200 mg tablety;tbl 60x200 mg (blis.PVC/PVDC/Al);28,05;400;mg
N05AL05;4784B;X;AKTIPROL 400 mg tablety;tbl 60x400 mg (blis.PVC/PVDC/Al);42,86;400;mg
A04AA55;5287B;;Akynzeo 300 mg/0,5 mg tvrdé kapsuly;cps dur 1x300 mg/0,5 mg (blis.Al/Al);64,17;1;DF
A16AX01;6422D;X;Aladez;tbl flm 30x600 mg (blis.PVC/PVDC/AI);14,25;0,2;g
A16AX01;6424D;X;Aladez;tbl tlm 90x600 mg (blis.PVC/PVDC/AI);38;0,2;g
B05AA01;97907;;Albutein 50 g/l;sol inf 1x250 ml (fľ.skl.inf.);47,68;20;g
B05AA01;9181D;;Albutein 50 g/l infúzny roztok;sol inf 1x250 ml (fľ.skl.);47,68;20;g
D06BB10;1796;;ALDARA 5 % krém;crm der 12x250 mg (vrecko PE/Al);53,62;250;mg
C03DA04;4755B;X;Aldepla 25 mg;tbl flm 30x25 mg (blis.PVC/Al);13,73;1;DF
C03DA04;4757B;X;Aldepla 25 mg;tbl flm 90x25 mg (blis.PVC/Al);40,17;1;DF
C03DA04;4765B;X;Aldepla 50 mg;tlb flm 90x50 mg (blis.PVC/Al);43,32;1;DF
A16AB05;40757;;Aldurazyme;con inf 1x5 ml (100 U/ ml) (skl. liekov.);563,34;100;IU
L01XE36;3040C;;Alecensa 150 mg tvrdé kapsuly;cps dur 224 (4x56)x150 mg (blis.PA/Al/PVC);4870,65;1200;mg
R06AE09;2322B;X;Alergimed;tbl flm 30x5 mg (blis.Al/OPA/Al/PVC);2,59;5;mg
R06AE09;2324B;X;Alergimed;tbl flm 50x5 mg (blis.Al/OPA/Al/PVC);4,31;5;mg
R06AE09;2329B;X;Alergimed;tbl flm 90x5 mg (blis.Al/OPA/Al/PVC);7,12;5;mg
R06AE07;26478;X;Alerid;tbl flm 100x10 mg;13,24;10;mg
R06AE07;43872;X;Alerid;tbl flm 10x10 mg;1,67;10;mg
R06AE07;64867;X;Alerid;tbl flm 20x10 mg;2,88;10;mg
R06AE07;64868;X;Alerid;tbl flm 50x10 mg;6,99;10;mg
L02BG04;80313;X;Aletro 2,5 mg filmom obalené tablety;tbl flm 30x2,5 mg (blis.PVC/PVDC/Al);12,81;2,5;mg
A11CC03;10780;X;Alfakalcidol SANDOZ 1 µg mäkké kapsuly;cps mol 30x1 µg (blis. PVC/PVDC/Al);10,01;1;mcg
A11CC03;10782;X;Alfakalcidol SANDOZ 1 µg mäkké kapsuly;cps mol 60x1 µg (blis. PVC/PVDC/Al);17,73;1;mcg
A11CC03;5384C;X;ALFAMED 1,0 mikrogram;cps mol 30x1 µg (fľ.HDPE s HDPE uzáver.);10,01;1;mcg
A11CC03;5386C;X;ALFAMED 1,0 mikrogram;cps mol 90x1 µg (fľ.HDPE s PP uzáver.);26,6;1;mcg
G04CA01;35235;X;Alfuzosin Mylan 10 mg;tbl plg 60x10 mg (blis.PVC/PVDC/Al);10;10;mg
G04CA01;35237;X;Alfuzosin Mylan 10 mg;tbl plg 90x10 mg (blis.PVC/PVDC/Al);15;10;mg
G04CA01;98823;X;Alfuzosin Sandoz 10 mg tablety s predĺženým uvoľňovaním;tbl plg 90x10 mg (blis.PVC/PVDC/Al);7,14;10;mg
N02AB03;36330;;Algogesic 100 µg/ h transdermálna náplasť;emp tdm 5x100 µg/1 h;27,03;0,6;mg
N02AB03;36318;;Algogesic 25 µg/ h transdermálna náplasť;emp tdm 5x25 µg/1 h;10,08;0,6;mg
N02AB03;36322;;Algogesic 50 µg/ h transdermálna náplasť;emp tdm 5x50 µg/1 h;16,52;0,6;mg
G04CA52;2439D;;Alkapidan 0,5 mg/0,4 mg tvrdé kapsuly;cps dur 90x0,5 mg/0,4 mg (fľ.HDPE);38,04;1;DF
R01AC03;87130;;Allergodil;aer nas 1x10 ml (fľ.skl.hnedá);6,51;0,56;mg
S01GX07;54475;;Allergodil očná instilácia;int opo 1x6 ml (fľ.HDPE);5,89;1;ml
M01AB05;67547;;ALMIRAL;sol inj 10x3 ml/75 mg (amp.skl.hnedá);3,15;0,1;g
L04AX08;7704C;;Alofisel 5 miliónov buniek/ ml injekčná suspenzia;sus inj 4x6 ml/30 miliónov buniek;59221,04;1;DF
M04AA01;9741B;X;Alopurinol Sandoz 300 mg;tbl 100x300 mg (blis.PVC/Al);7,89;0,4;g
M04AA01;9739B;X;Alopurinol Sandoz 300 mg;tbl 30x300 mg (blis.PVC/Al);2,86;0,4;g
A04AA05;90114;;Aloxi 250 mikrogramov injekčný roztok;sol inj 1x5 ml/250 µg (liek.inj.skl.);32,19;50;mcg
A04AA05;89919;X;Aloxi 500 mikrogramov mäkké kapsuly;cps mol 1x500 µg (blis.PA/Al/PVC);59;100;mcg
A11CC03;92973;X;ALPHA D3 1 µg;cps mol 30x1 µg (fľaš.);10,01;1;mcg
A11CC03;13846;X;ALPHA D3 1 µg;cps mol 90x1 µg (fľaš.);26,6;1;mcg
D07XA02;92411;;Alpicort 2 mg/ml + 4 mg/ml dermálny roztok;sol der 1x100 ml (fľ.skl.);7,2;1;ml
D07XA02;92410;;Alpicort F 0,05 mg/ml + 2 mg/ml + 4 mg/ml dermálny roztok;sol der 1x100 ml (fľ.skl.);11,94;1;ml
B02BD04;9483B;;ALPROLIX 1000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1000 IU + 5 ml solv. (liek.inj.skl.);1012,78;350;UT
B02BD04;9484B;;ALPROLIX 2000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x2000 IU + 5 ml solv. (liek.inj.skl.);2015,18;350;UT
B02BD04;9481B;;ALPROLIX 250 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x250 IU + 5 ml solv. (liek.inj.skl.);257,86;350;UT
B02BD04;9485B;;ALPROLIX 3000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x3000 IU + 5 ml solv. (liek.inj.skl.);3017,59;350;UT
B02BD04;9482B;;ALPROLIX 500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x500 IU + 5 ml solv. (liek.inj.skl.);510,29;350;UT
C01EA01;92305;;ALPROSTAN;con inf 10x0,2 ml/0,1 mg (amp.skl.);211,96;20;µg
