A16.2;Tuberkulóza pľúc, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení
A16.3;Tuberkulóza vnútrohrudníkových lymfatických uzlín, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení
A16.4;Tuberkulóza hrtana, priedušnice a priedušiek bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení
A16.5;Tuberkulózna pleuritída, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení
A16.7;Primárna tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení
A16.8;Iná tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení
A16.9;Tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení, bližšie neurčená
A17.-†;Tuberkulóza nervovej sústavy
A17.0†;Tuberkulózna meningitída (G01*)
A17.1†;Meningový tuberkulóm (G07*)
A17.8†;Iná tuberkulóza nervovej sústavy
A17.9†;Tuberkulóza nervovej sústavy, bližšie neurčená
A18.-;Tuberkulóza iných orgánov
A18.0†;Tuberkulóza kostí a kĺbov
A18.1;Tuberkulóza močovopohlavnej sústavy
A18.2;Tuberkulózna periférna lymfadenopatia
A18.3;Tuberkulóza čriev, peritonea a mezentériových lymfatických uzlín
A18.4;Tuberkulóza kože a podkožného tkaniva
A18.5;Tuberkulóza oka
A18.6;Tuberkulóza ucha
A18.7†;Tuberkulóza nadobličiek (E35.1*)
A18.8;Tuberkulóza iných bližšie určených orgánov
A19.-;Miliárna tuberkulóza
A19.0;Akútna miliárna tuberkulóza na jedinom bližšie určenom mieste
A19.1;Akútna miliárna tuberkulóza na viacerých miestach
A19.2;Akútna miliárna tuberkulóza, bližšie neurčená
A19.8;Iná miliárna tuberkulóza
A19.9;Miliárna tuberkulóza, bližšie neurčená
A20.-;Mor
A20.0;Bubonický mor
A20.1;Kožná forma moru
A20.2;Pľúcna forma moru
A20.3;Morová meningitída
A20.7;Septikemická forma moru
A20.8;Iná forma moru
A20.9;Bližšie neurčený mor
A21.-;Tularémia
A21.0;Ulceroglandulárna tularémia
A21.1;Okuloglandulárna tularémia
A21.2;Pľúcna tularémia
A21.3;Gastrointestinálna tularémia
A21.7;Generalizovaná tularémia
A21.8-;Iná forma tularémie
A21.81;Glandulárna tularémia
A21.82;Orofaryngeálna tularémia
A21.9;Tularémia, bližšie neurčená
A22.-;Antrax
A22.0;Kožný antrax
A22.1;Pľúcny antrax
A22.2;Gastrointestinálny antrax
A22.7;Antraxová sepsa
A22.8;Iná forma antraxu
A22.9;Bližšie neurčený antrax
A23.-;Brucelóza
A23.0;Brucelóza zapríčinená Brucella melitensis
A23.1;Brucelóza zapríčinená Brucella abortus
A23.2;Brucelóza zapríčinená Brucella suis
A23.3;Brucelóza zapríčinená Brucella canis
A23.8;Iná brucelóza
A23.9;Brucelóza, bližšie neurčená
A24.-;Sopľavka [malleus] a melioidóza [pseudomalleus]
A24.0;Sopľavka
A24.1;Akútna alebo fulminantná melioidóza
A24.2;Subakútna a chronická melioidóza
A24.3;Iná melioidóza
A24.4;Melioidóza, bližšie neurčená
A25.-;Horúčka po uhryznutí potkanom
A25.0;Spirilóza
A25.1;Streptobacilóza
A25.9;Horúčka po uhryznutí potkanom, bližšie neurčená
A26.-;Eryzipeloid
A26.0;Kožný eryzipeloid
A26.7;Eryzipelotrixová sepsa
A26.8;Iná forma eryzipeloidu
A26.9;Bližšie neurčený eryzipeloid
A27.-;Leptospiróza
A27.0;Leptospiróza zapríčinená Leptospira icterohaemorrhagiae [Weilova choroba]
A27.8;Iná forma leptospirózy
A27.9;Leptospiróza, bližšie neurčená
A28.-;Iná baktériová zoonóza, nezatriedená inde
A28.0;Pasteurelóza
A28.1;Choroba z mačacieho škrabnutia
A28.2;Extraintestinálna yersinióza
A28.8;Iná baktériová zoonóza, bližšie určená, nezatriedená inde
A28.9;Baktériová zoonóza, bližšie neurčená
A30.-;Lepra [malomocenstvo, Hansenova choroba]
A30.0;Neurčená [indeterminate] lepra
A30.1;Tuberkuloidná lepra
A30.2;Hraničná [borderline] tuberkuloidná lepra
A30.3;Hraničná [borderline] lepra
A30.4;Hraničná [borderline] lepromatózna lepra
A30.5;Lepromatózna lepra
A30.8;Iná forma lepry
A30.9;Lepra, bližšie neurčená
A31.-;Infekcia zapríčinená inou mykobaktériou
A31.0;Pľúcna mykobakterióza
A31.1;Kožná mykobakterióza
A31.8-;Iné infekcie zapríčinené mykobaktériou
A31.80;Diseminovaná atypická mykobakterióza
A31.88;Iná infekcia zapríčinená mykobaktériou
A31.9;Mykobaktériová infekcia, bližšie neurčená
A32.-;Listerióza
A32.0;Kožná listerióza
A32.1†;Listériová meningitída a meningoencefalitída
A32.7;Listériová sepsa
A32.8;Iná forma listeriózy
A32.9;Listerióza, bližšie neurčená
A33;Tetanus novorodencov
A34;Tetanus počas gravidity, pôrodu a v šestonedelí
A35;Iný tetanus
A36.-;Diftéria [ Záškrt ]
A36.0;Hltanová diftéria
A36.1;Nosohltanová diftéria
A36.2;Hrtanová diftéria
A36.3;Kožná diftéria
A36.8;Iná diftéria
A36.9;Bližšie neurčená diftéria
A37.-;Pertussis [Čierny kašeľ, Divý kašeľ]
A37.0;Pertussis zapríčinený Bordetella pertussis
A37.1;Pertussis zapríčinený Bordetella parapertussis
A37.8;Pertussis zapríčinený iným druhom bordetely
A37.9;Pertussis, bližšie neurčený
A38;Scarlatina [Šarlach]
A39.-;Meningokoková infekcia
A39.0†;Meningokoková meningitída (G01*)
A39.1†;Waterhouseov-Friderichsenov syndróm (E35.1*)
A39.2;Akútna meningokoková sepsa
A39.3;Chronická meningokoková sepsa
A39.4;Meningokoková sepsa, bližšie neurčená
A39.5†;Meningokokové ochorenie srdca
A39.8;Iná meningokoková infekcia
A39.9;Meningokoková infekcia, bližšie neurčená
A40.-;Streptokoková sepsa
A40.0;Sepsa zapríčinená streptokokom zo skupiny A
A40.1;Sepsa zapríčinená streptokokom zo skupiny B
A40.2;Sepsa zapríčinená streptokokom zo skupiny D
A40.3;Sepsa zapríčinená Streptococcus pneumoniae
A40.8-;Iná streptokoková sepsa
A40.81;Sepsa zapríčinená streptokokom zo skupiny C
A40.9;Sepsa zapríčinená streptokokmi, bližšie neurčená
A41.-;Iná sepsa
A41.0;Sepsa zapríčinená Staphylococcus aureus
A41.1;Sepsa zapríčinená iným bližšie určeným stafylokokom
A41.2;Sepsa zapríčinená bližšie neurčeným stafylokokom
A41.3;Sepsa zapríčinená Haemophilus influenzae
A41.4;Sepsa zapríčinená anaeróbnou baktériou
A41.5-;Sepsa zapríčinená inou gramnegatívnou baktériou
A41.51;Sepsa zapríčinená Escherichia coli [E. coli]
A41.52;Sepsa zapríčinená pseudomonas
A41.53;Sepsa zapríčinená multirezistentnou gramnegatívnou baktériou
A41.58;Sepsa zapríčinená inou gramnegatívnou baktériou
A41.8-;Iná sepsa, bližšie určená
A41.81;Sepsa zapríčinená multirezistentnou grampozitívnou baktériou
A41.9;Sepsa, bližšie neurčená
A42.-;Aktinomykóza
A42.0;Pľúcna aktinomykóza
A42.1;Brušná aktinomykóza
A42.2;Cervikofaciálna aktinomykóza
A42.7;Aktinomykotická sepsa
A42.8;Iná forma aktinomykózy
A42.9;Aktinomykóza, bližšie neurčená
A43.-;Nokardióza
A43.0;Pľúcna nokardióza
A43.1;Kožná nokardióza
A43.8;Iná forma nokardiózy
A43.9;Bližšie neurčená nokardióza
A44.-;Bartonelóza
A44.0;Systémová bartonelóza
A44.1;Kožná a mukokutánna bartonelóza
A44.8;Iná forma bartonelózy
A44.9;Bartonelóza, bližšie neurčená
A46;Eryzipel [Erysipelas, Ruža]
A48.-;Iná baktériová choroba, nezatriedená inde
A48.0;Plynová gangréna
A48.1;Legionelóza s pneumóniou [Legionárska choroba]
A48.2;Legionelóza bez pneumónie [Pontiacka horúčka]
A48.3;Syndróm toxického šoku
A48.4;Brazílska purpurová horúčka
A48.8;Iná baktériová choroba, bližšie určená
A49.-;Baktériová infekcia bez bližšieho určenia miesta
A49.0;Stafylokoková infekcia bez bližšieho určenia miesta
A49.1;Streptokoková infekcia bez bližšieho určenia miesta
A49.2;Infekcia haemophilus influenzae bez bližšieho určenia miesta
A49.3;Mykoplazmová infekcia bez bližšieho určenia miesta
A49.8;Iná baktériová infekcia bez bližšieho určenia miesta
A49.9;Bližšie neurčená baktériová infekcia, bez bližšieho určenia miesta
A50.-;Vrodený syfilis [Lues congenita]
A50.0;Včasný vrodený syfilis, symptomatický
A50.1;Včasný vrodený syfilis, latentný
A50.2;Včasný vrodený syfilis, bližšie neurčený
A50.3;Neskorá vrodená syfilitická okulopatia
A50.4;Neskorý vrodený neurosyfilis [Juvenilný neurosyfilis]
A50.5;Iný neskorý vrodený syfilis, symptomatický
A50.6;Neskorý vrodený syfilis, latentný
A50.7;Neskorý vrodený syfilis, bližšie neurčený
A50.9;Vrodený syfilis, bližšie neurčený
A51.-;Včasný syfilis
A51.0;Primárny genitálny syfilis
A51.1;Primárny análny syfilis
A51.2;Primárny syfilis na inom mieste
A51.3;Sekundárny syfilis kože a slizníc
A51.4;Iná forma sekundárneho syfilisu
A51.5;Včasný syfilis, latentný
A51.9;Včasný syfilis, bližšie neurčený
A52.-;Neskorý syfilis
A52.0†;Kardiovaskulárny syfilis
A52.1;Neurosyfilis, symptomatický
A52.2;Neurosyfilis, asymptomatický
A52.3;Neurosyfilis, bližšie neurčený
A52.7;Neskorý syfilis, symptomatický, iná forma
A52.8;Neskorý syfilis, latentný
A52.9;Neskorý syfilis, bližšie neurčený
A53.-;Iný a bližšie neurčený syfilis
A53.0;Latentný syfilis, bližšie neurčený ako včasný alebo neskorý
A53.9;Syfilis, bližšie neurčený
A54.-;Gonokoková infekcia
A54.0;Gonokoková infekcia dolných častí močovopohlavnej sústavy bez abscesu uretrových alebo predsieňových žliaz
A54.1;Gonokoková infekcia dolných častí močovopohlavnej sústavy s abscesom uretrových a predsieňových žliaz
A54.2;Gonokoková pelveoperitonitída a iná gonokoková močovopohlavná infekcia
A54.3;Gonokoková infekcia oka
A54.4†;Gonokoková infekcia svalovo-kostrovej sústavy
A54.5;Gonokoková faryngitída
A54.6;Gonokoková infekcia anusu a rekta
A54.8;Iná gonokoková infekcia
A54.9;Gonokoková infekcia, bližšie neurčená
A55;Lymphogranuloma venereum (chlamýdiový)
A56.-;Iná pohlavne prenosná chlamýdiová choroba
A56.0;Chlamýdiová infekcia dolných častí močovopohlavnej sústavy
A56.1;Chlamýdiová infekcia panvovej pobrušnice a močovopohlavných orgánov
A56.2;Chlamýdiová infekcia močovopohlavnej sústavy, bližšie neurčená
A56.3;Chlamýdiová infekcia anusu a rekta
A56.4;Chlamýdiová infekcia faryngu
A56.8;Pohlavne prenosná chlamýdiová infekcia na iných miestach
A57;Mäkký vred [ulcus molle]
A58;Granuloma venereum (inguinale)
A59.-;Trichomonóza
A59.0;Urogenitálna trichomonóza
A59.8;Trichomonóza na iných miestach
A59.9;Trichomonóza, bližšie neurčená
A60.-;Anogenitálna infekcia herpetickým vírusom [Herpes simplex]
A60.0;Infekcia genitálií a močovopohlavnej sústavy zapríčinená herpetickým vírusom
A60.1;Infekcia perianálnej kože a rekta zapríčinená herpetickým vírusom
A60.9;Anogenitálna infekcia zapríčinená herpetickým vírusom, bližšie neurčená
A63.-;Iná prevažne pohlavne prenosná choroba, nezatriedená inde
A63.0;Anogenitálne (venerické) bradavice
A63.8;Iná prevažne pohlavne prenosná choroba, bližšie určená
A64;Pohlavne prenosná choroba, bližšie neurčená
A65;Nevenerický syfilis
A66.-;Frambézia
A66.0;Primárna lézia pri frambézii
A66.1;Mnohopočetné papilómy a vlhká plazivá frambézia
A66.2;Iné počiatočné lézie kože pri frambézii
A66.3;Hyperkeratóza pri frambézii
A66.4;Gumy a vredy pri frambézii
A66.5;Gangóza
A66.6;Kostné a kĺbové lézie pri frambézii
A66.7;Iné prejavy frambézie
A66.8;Latentná frambézia
A66.9;Bližšie neurčená frambézia
A67.-;Pinta [carate]
A67.0;Pinta, primárne lézie
A67.1;Pinta, stredne pokročilé lézie
A67.2;Pinta, neskoré lézie
A67.3;Pinta, zmiešané lézie
A67.9;Pinta, bližšie neurčená
A68.-;Návratná horúčka
A68.0;Návratná horúčka prenášaná všami
A68.1;Návratná horúčka prenášaná kliešťami
A68.9;Návratná horúčka, bližšie neurčená
A69.-;Iná infekcia zapríčinená spirochétami
A69.0;Nekrotizujúca ulcerózna stomatitída
A69.1;Iná fusospirochetóza
A69.2-;Lymská choroba
A69.21;Lymská choroba - včasná diseminovaná infekcia, kožná forma
A69.22;Lymská choroba - včasná neuroborelióza
A69.23;Lymská karditída
A69.24;Lymská artritída
A69.25;Lymská choroba - očná forma
A69.26;Lymská choroba - chronická neuroborelióza
A69.27;Lymská choroba - Acrodermatitis chronica atroficans
A69.8;Iná infekcia zapríčinená spirochétami, bližšie určená
A69.9;Infekcia zapríčinená spirochétami, bližšie neurčená
A70;Infekcia zapríčinená Chlamydia psittaci
A71.-;Trachóm
A71.0;Trachóm, začiatočné štádium
A71.1;Trachóm, aktívne štádium
A71.9;Trachóm, bližšie neurčený
A74.-;Iná choroba zapríčinená chlamýdiami
A74.0†;Chlamýdiový zápal spojoviek
A74.8-;Iná chlamýdiová choroba
A74.81;Chlamýdiová dilatačná kardiomyopatia
A74.82;Chlamýdiová myokarditída
A74.83;Chlamýdiová endokarditída
A74.84;Chlamýdiová artritída
A74.9;Chlamýdiová infekcia, bližšie neurčená
A75.-;Škvrnitý týfus
A75.0;Škvrnitý týfus prenášaný všami zapríčinený Rickettsia prowazeki
A75.1;Návratný škvrnitý týfus [Brillova choroba]
A75.2;Škvrnitý týfus zapríčinený Rickettsia typhi [Riketsia mooseri]
A75.3;Škvrnitý týfus zapríčinený Rickettsia tsutsugamushi [Rickettsia orientalis]
A75.9;Škvrnitý týfus, bližšie neurčený
A77.-;Škvrnité horúčky [Riketsiózy prenášané kliešťami]
A77.0;Škvrnitá horúčka zapríčinená Rickettsia rickettsii
A77.1;Škvrnitá horúčka zapríčinená Rickettsia conorii
A77.2;Škvrnitá horúčka zapríčinená Rickettsia sibirica
A77.3;Škvrnitá horúčka zapríčinená Rickettsia australis
A77.8;Iná škvrnitá horúčka
A77.9;Škvrnitá horúčka, bližšie neurčená
A78;Q-horúčka
A79.-;Iné riketsiózy
A79.0;Volynská (zákopová) horúčka
A79.1;Riketsiové kiahne zapríčinené Rickettsia akari
A79.8;Iná riketsióza, bližšie určená
A79.9;Riketsióza, bližšie neurčená
A80.-;Akútna poliomyelitída
A80.0;Akútna paralytická poliomyelitída spojená s očkovaním
A80.1;Akútna paralytická poliomyelitída zapríčinená importovaným divým vírusom
A80.2;Akútna paralytická poliomyelitída zapríčinená domácim divým vírusom
A80.3;Iná akútna paralytická poliomyelitída, bližšie neurčená
A80.4;Akútna neparalytická poliomyelitída
A80.9;Akútna poliomyelitída, bližšie neurčená
A81.-;Pomalá vírusová infekcia centrálnej nervovej sústavy
A81.0;Creutzfeldtova-Jakobova choroba
A81.1;Subakútna sklerotizujúca panencefalitída
A81.2;Progresívna multifokálna leukoencefalopatia
A81.8;Iná pomalá vírusová infekcia centrálnej nervovej sústavy
A81.9;Pomalá vírusová infekcia centrálnej nervovej sústavy, bližšie neurčená
A82.-;Besnota [rabies, lyssa]
A83.-;Vírusová encefalitída, prenášaná komármi
A83.0;Japonská encefalitída
A83.1;Západná encefalitída koní
A83.2;Východná encefalitída koní
A83.3;Saintlouiská encefalitída
A83.4;Austrálska encefalitída
A83.5;Kalifornská encefalitída
A83.6;Encefalitída zapríčinená vírusom Rocio
A83.8;Iná vírusová encefalitída prenášaná komármi
A83.9;Vírusová encefalitída prenášaná komármi, bližšie neurčená
A84.-;Vírusová encefalitída prenášaná kliešťami
A84.0;Kliešťová encefalitída Ďalekého východu [ruská jarno-letná encefalitída]
A84.1;Stredoeurópska kliešťová encefalitída
A84.8;Iná vírusová encefalitída prenášaná kliešťami
A84.9;Vírusová encefalitída prenášaná kliešťami, bližšie neurčená
A85.-;Iná vírusová encefalitída, nezatriedená inde
A85.0†;Enterovírusová encefalitída (G05.1*)
A85.1†;Adenovírusová encefalitída (G05.1*)
A85.2;Vírusová encefalitída prenášaná článkonožcami, bližšie neurčená
A85.8;Iná vírusová encefalitída, bližšie určená
A86;Vírusová encefalitída, bližšie neurčená
A87.-;Vírusová meningitída
A87.0†;Enterovírusová meningitída (G02.0*)
A87.1†;Adenovírusová meningitída (G02.0*)
A87.2;Lymfocytová choriomeningitída
A87.8;Iná vírusová meningitída
A87.9;Vírusová meningitída, bližšie neurčená
A88.-;Iná vírusová infekcia centrálnej nervovej sústavy, nezatriedená inde
A88.0;Enterovírusová exantémová horúčka [Bostonský exantém]
A88.1;Epidemické vertigo
A88.8;Iná vírusová infekcia centrálnej nervovej sústavy, bližšie určená
A89;Vírusová infekcia centrálnej nervovej sústavy, bližšie neurčená
A90;Horúčka dengue [klasická dengue]
A91;Hemoragická horúčka dengue
A92.-;Iná vírusová horúčka prenášaná komármi
A92.0;Vírusová choroba Chikungunya
A92.1;Horúčka O'nyong-nyong
A92.2;Venezuelská horúčka koní
A92.3;Horúčka Západného Nílu
A92.4;Horúčka Riftského údolia
A92.8;Iná vírusová horúčka prenášaná komármi, bližšie určená
A92.9;Vírusová horúčka prenášaná komármi, bližšie neurčená
A93.-;Iná vírusová horúčka prenášaná článkonožcami, nezatriedená inde
A93.0;Choroba zapríčinená vírusom Oropouche
A93.1;Horúčka papatači (prenášaná piesočnými muchami) [sandfly fever]
A93.2;Koloradská kliešťová horúčka
A93.8;Iná vírusová horúčka prenášaná článkonožcami, bližšie určená
A94;Vírusová horúčka prenášaná článkonožcami, bližšie neurčená
A95.-;Žltá zimnica
A95.0;Žltá zimnica, lesný typ
A95.1;Žltá zimnica, mestský typ
A95.9;Žltá zimnica, bližšie neurčená
A96.-;Arenavírusová hemoragická horúčka
A96.0;Hemoragická horúčka zapríčinená vírusom Junin
A96.1;Hemoragická horúčka zapríčinená vírusom Machupo
A96.2;Horúčka Lassa
A96.8;Iná arenavírusová hemoragická horúčka
A96.9;Arenavírusová hemoragická horúčka, bližšie neurčená
A98.-;Iná vírusová hemoragická horúčka, nezatriedená inde
A98.0;Krymsko-konžská hemoragická horúčka
A98.1;Omská hemoragická horúčka
A98.2;Horúčka Kyasanurského lesa
A98.3;Choroba zapríčinená vírusom Marburg
A98.4;Choroba zapríčinená vírusom Ebola
A98.5;Hemoragická horúčka s renálnym syndrómom
A98.8;Iná vírusová hemoragická horúčka, bližšie určená
A99;Vírusová hemoragická horúčka, bližšie neurčená
B00.-;Infekcia herpetickým vírusom [Herpes simplex]
B00.0;Herpetický ekzém
B00.1;Herpetická vezikulárna dermatitída
B00.2;Herpetická gingivostomatitída a tonzilofaryngitída
B00.3†;Herpetická meningitída (G02.0*)
B00.4†;Herpetická encefalitída (G05.1*)
B00.5;Očná infekcia herpetickým vírusom
B00.7;Diseminovaná herpetická choroba
B00.8;Iná forma herpetickej infekcie
B00.9;Herpetická infekcia, bližšie neurčená
B01.-;Ovčie kiahne [Varicella]
B01.0†;Varicelová meningitída (G02.0*)
B01.1†;Varicelová encefalitída (G05.1*)
B01.2†;Varicelový zápal pľúc (J17.1*)
B01.8;Varicela s inými komplikáciami
B01.9;Varicela bez komplikácií
B02.-;Pásový opar [Herpes zoster, Zoster]
B02.0†;Zosterová encefalitída (G05.1*)
B02.1†;Zosterová meningitída (G02.0*)
B02.2†;Zoster s postihnutím iných častí nervovej sústavy
B02.3;Zosterová choroba oka
B02.7;Diseminovaný zoster
B02.8;Zoster s inými komplikáciami
B02.9;Zoster bez komplikácií
B03;Kiahne [Variola]
B04;Opičie kiahne
B05.-;Osýpky [Morbilli]
B05.0†;Osýpky komplikované encefalitídou (G05.1*)
B05.1†;Osýpky komplikované meningitídou (G05.1*)
B05.2†;Osýpky komplikované pneumóniou (J17.1*)
B05.3†;Osýpky komplikované zápalom stredného ucha (H67.1*)
B05.4;Osýpky s črevnými komplikáciami
B05.8;Osýpky s inými komplikáciami
B05.9;Osýpky bez komplikácií
B06.-;Ružienka [Rubeola]
B06.0†;Ružienka s nervovými komplikáciami
B06.8;Ružienka s inými komplikáciami
B06.9;Ružienka bez komplikácií
B08.1;Kontagiózne bradavice [Molluscum contagiosum]
B08.2;Exanthema subitum [Šiesta choroba]
B08.3;Erythema infectiosum [Piata choroba]
B08.4;Enterovírusová vezikulárna stomatitída s exantémom
B08.5;Enterovírusová vezikulárna faryngitída
B08.8;Iná vírusová infekcia charakterizovaná postihnutím kože a slizníc, bližšie určená
B09;Vírusová infekcia charakterizovaná postihnutím kože a slizníc, bližšie neurčená
B15.-;Akútna hepatitída A
B15.0;Akútna hepatitída A s pečeňovou kómou
B15.9;Akútna hepatitída A bez pečeňovej kómy
B16.-;Akútna hepatitída B
B16.0;Akútna hepatitída B s Delta vírusom (koinfekcia), s pečeňovou kómou
B16.1;Akútna hepatitída B s Delta vírusom (koinfekcia), bez pečeňovej kómy
B16.2;Akútna hepatitída B bez Delta vírusu, s pečeňovou kómou
B16.9;Akútna hepatitída B bez Delta vírusu, bez pečeňovej kómy
B17.-;Iná akútna vírusová hepatitída
B17.0;Akútna Delta-vírusová (super)infekcia nosiča vírusu hepatitídy B
B17.1;Akútna hepatitída C
B17.2;Akútna hepatitída E
B17.8;Iná akútna vírusová hepatitída, bližšie určená
B17.9;Akútna vírusová hepatitída, bližšie neurčená
B18.-;Chronická vírusová hepatitída
B18.0;Chronická hepatitída B s Delta vírusom
B18.1;Chronická hepatitída B bez Delta vírusu
B18.2;Chronická hepatitída C
B18.8;Iná chronická vírusová hepatitída
B18.9;Chronická vírusová hepatitída, bližšie neurčená
B19.-;Vírusová hepatitída, bližšie neurčená
B19.0;Vírusová hepatitída s pečeňovou kómou, bližšie neurčená
B19.9;Vírusová hepatitída bez pečeňovej kómy, bližšie neurčená
B20.-;Choroba HIV s následnými infekčnými a parazitovými chorobami
B20.0;Choroba HIV s následnými mykobakteriovými infekciami
B20.1;Choroba HIV s následnými inými bakteriovými infekciami
B20.2;Choroba HIV s následnou cytomegalovírusovou chorobou
B20.4;Choroba HIV s následnými kandidózami
B20.5;Choroba HIV s následnými inými mykózami
B20.6;Choroba HIV s následnou pneumocystovou pneumóniou
B20.7;Choroba HIV s následnými viacpočetnými infekciami
B20.9;Choroba HIV s následnými infekčnými alebo parazitovými chorobami bližšie neurčenými
B21.-;Choroba HIV s následnými zhubnými nádormi
B21.0;Choroba HIV s následným Kaposiho sarkómom
B21.1;Choroba HIV s následným Burkittovým lymfómom
B21.2;Choroba HIV s následnými inými typmi nehodgkinovho lymfómu
B21.3;Choroba HIV s následnými inými zhubnými nádormi lymfatického krvotvorného a príbuzného tkaniva
B21.7;Choroba HIV s následnými viacpočetnými zhubnými nádormi
B21.8;Choroba HIV s následnými inými zhubnými nádormi
B21.9;Choroba HIV s následnými zhubných nádormi, bližšie neurčenými
B22.-;Choroba HIV s inými následnými chorobami, bližšie určenými
